source,target
SNAPC5,chr15_66490135_66497780
ANAPC11,chr17_81890790_81900991
APCDD1,chr18_10454635_10489949
APCDD1L,chr20_58459101_58515399
APCDD1L-DT,chr20_58515379_58619888
APC2,chr19_1446302_1473244
SNAPC2,chr19_7920338_7923250
APEX1,chr14_20455191_20457772
ARHGEF16,chr1_3454665_3481113
PARK7,chr1_7954291_7985505
ARHGEF19-AS1,chr1_16197854_16198357
ARHGEF19,chr1_16197854_16212652
PARS2,chr1_54756898_54764523
ARID1A,chr1_26693236_26782104
ARL5AP3,chr1_68049360_68049745
ARID3BP1,chr1_81501794_81503468
BCAR3,chr1_93561741_93847150
BARHL2,chr1_90711539_90717302
ARHGAP29,chr1_94148988_94275068
WARS2-IT1,chr1_119047405_119064785
LPAR3,chr1_84811602_84893206
WARS2-AS1,chr1_119140391_119275973
SARS1,chr1_109213918_109238182
ARHGAP29-AS1,chr1_94247819_94411036
CIART,chr1_150282543_150287093
TARBP1,chr1_234391313_234479179
ARPC5,chr1_183620846_183635783
EDARADD,chr1_236348257_236502915
LARP7P1,chr1_203400266_203400581
IARS2,chr1_220094132_220148041
ARV1,chr1_230978981_231000733
ARHGEF10L,chr1_17539698_17697874
MTARC2,chr1_220748225_220784815
ARID4B,chr1_235131634_235328219
SCARNA21B,chr1_15542165_15542304
SCARNA3,chr1_175968398_175968540
SCARNA18B,chr1_193057281_193057415
SCARNA2,chr1_109100193_109100612
SCARNA4,chr1_155925958_155926085
SCARNA4,chr1_155925958_155926086
ARHGEF2,chr1_155946851_156007070
ARHGEF2-AS2,chr1_155978799_155982986
ARHGEF2-AS1,chr1_155991390_156001787
ARMH1,chr1_44674692_44725591
SCARNA1,chr1_27834401_27834566
WARS2,chr1_119031216_119140654
ARHGEF11,chr1_156934840_157045742
ARTN,chr1_43933320_43937240
PRKAR1AP1,chr1_92125301_92126462
BCAR3-AS1,chr1_93592199_93605573
TARS2,chr1_150487364_150507609
ARF1,chr1_228082660_228099212
MARCKSL1,chr1_32333839_32336233
MTARC1,chr1_220786913_220819659
MARK1,chr1_220528136_220664461
DARS2,chr1_173824653_173858808
ARHGAP30,chr1_161046946_161069970
ARNT,chr1_150809713_150876708
PARP1,chr1_226360210_226408154
ADAR,chr1_154581695_154628013
ARPC3P2,chr1_211442274_211442806
TARDBP,chr1_11012344_11030528
YARS1,chr1_32775237_32817380
ARL8A,chr1_202133404_202144743
SRARP,chr1_16004236_16008807
PEAR1,chr1_156893698_156916429
PCARE,chr2_29060976_29074523
ARHGAP25,chr2_68679601_68826833
LYARP1,chr2_82268427_82269927
STARD7-AS1,chr2_96208403_96243353
PARTICL,chr2_85537462_85538666
SOCAR,chr2_111491272_111570974
ARHGAP42P2,chr2_130006200_130009123
MARS2,chr2_197705369_197708395
FAR2P1,chr2_130012065_130040560
PARD3B,chr2_204545475_205620162
FAR2P2,chr2_130416755_130431363
ARPP19P2,chr2_100509277_100509612
FARSB,chr2_222566899_222656092
DARS1,chr2_135905881_135986100
ARPC2,chr2_218217141_218254356
ARL4C,chr2_234493041_234497081
EDAR,chr2_108894471_108989372
BARD1,chr2_214725646_214809683
GPBAR1,chr2_218259496_218263861
ARHGAP15,chr2_143091362_143768352
ARHGAP15-AS1,chr2_143629133_143656179
DARS1-AS1,chr2_135985176_136022593
ARPC1BP1,chr2_208360631_208361369
MARCHF4,chr2_216257865_216372483
SMARCAL1-AS1,chr2_216385288_216412696
SMARCAL1,chr2_216412414_216483053
FARP2,chr2_241356285_241494841
MARCHF7,chr2_159712457_159771027
SCARNA5,chr2_233275727_233276002
SCARNA6,chr2_233288676_233288940
FAR2P4,chr2_131279290_131309068
ARL14EPP1,chr2_37148530_37149304
FAR2P3,chr2_130690133_130718831
ARHGAP42P1,chr2_131328176_131330857
ARHGEF4,chr2_130836914_131047263
ARL6IP6,chr2_152717893_152762396
ARNILA,chr2_25369136_25375845
ARL5A,chr2_151788984_151828492
ARHGEF33,chr2_38889875_38975454
TOGARAM2,chr2_28956611_29052230
ARID5A,chr2_96536743_96552634
MARCO,chr2_118942194_118994660
STARD7,chr2_96184859_96208827
CFLAR,chr2_201116154_201176687
CFLAR-AS1,chr2_201140278_201157823
CARF,chr2_202912214_202988263
ANKAR,chr2_189674290_189761193
SMARCE1P6,chr2_26149204_26150731
GAREM2,chr2_26173088_26189663
ARMC9,chr2_231198546_231376848
ARPP21-AS1,chr3_35650197_35651961
RARB,chr3_25174332_25597932
MARK2P14,chr3_11906527_11912313
SETMAR,chr3_4303304_4317567
SMARCC1,chr3_47585269_47782106
ARL6,chr3_97764521_97801229
RARRES2P1,chr3_75658534_75659014
ARMC10P1,chr3_94506766_94507620
ARL6IP5,chr3_69084937_69106092
ARHGEF3-AS1,chr3_56940040_56960854
ARHGAP31-AS1,chr3_119314293_119322760
ARL4AP4,chr3_23878981_23879498
ARHGAP31,chr3_119294383_119420714
PARP14,chr3_122680839_122730840
RARRES1,chr3_158696892_158732489
ARHGEF26,chr3_154121003_154257827
LARP7P4,chr3_145523538_145524415
ARMC8,chr3_138187248_138298384
TIPARP,chr3_156673235_156706770
ARHGEF26-AS1,chr3_154024401_154121347
PARP15,chr3_122577628_122639047
TIPARP-AS1,chr3_156671862_156674446
ARF4-AS1,chr3_57597531_57600927
ARF4,chr3_57571363_57598220
MARK2P8,chr3_128748538_128749489
PRKAR2A-AS1,chr3_48847572_48851981
ARIH2OS,chr3_48917782_48918823
PARL,chr3_183829271_183884933
MARK2P17,chr3_128843564_128844404
MARK3P3,chr3_128848673_128849399
MARK2P6,chr3_128852112_128853008
ARL8B,chr3_5122249_5180911
ARHGEF3,chr3_56727418_57079329
ARPC4-TTLL3,chr3_9793082_9835401
SCARNA7,chr3_160514907_160515236
ARL14,chr3_160677160_160678448
QARS1,chr3_49095932_49105130
ARIH2,chr3_48918821_48986382
ARL13B,chr3_93980139_94055678
PARP3,chr3_51942345_51948867
ARPC4,chr3_9792495_9807101
PRKAR2A,chr3_48744597_48847874
LARS2,chr3_45388561_45554726
LARS2-AS1,chr3_45483974_45509545
PPARG,chr3_12287368_12434356
ARGFX,chr3_121567949_121590622
ARPP21,chr3_35638945_35794496
PARP9,chr3_122527924_122564577
ARL4AP2,chr4_40786110_40786710
ARAP2,chr4_35948221_36244514
PPARGC1A,chr4_23755041_23904089
ZAR1,chr4_48490252_48494389
LYAR,chr4_4267701_4290154
LARP1BP1,chr4_63350114_63351472
PARM1,chr4_74933095_75050115
ARHGEF38,chr4_105552620_105708093
PARM1-AS1,chr4_74955974_74970362
ARHGEF38-IT1,chr4_105561591_105570238
LARP1B,chr4_128061286_128222931
SAR1AP3,chr4_120342056_120342647
AARS1P1,chr4_132592084_132592536
ARHGAP24,chr4_85475150_86002668
TARS2P1,chr4_135565117_135567157
SMARCA5,chr4_143513702_143557486
CIBAR1P2,chr4_183037665_183040119
ARHGAP10,chr4_147732063_148072776
SMARCA5-AS1,chr4_143513472_143514635
MARCHF1,chr4_163524298_164384050
RARRES2P4,chr4_190037916_190038399
MARK2P4,chr4_176012038_176014417
ARFIP1,chr4_152779937_152918463
AREG,chr4_74445136_74455005
ARL9,chr4_56505209_56524959
MGARP,chr4_139266165_139280225
SMARCAD1,chr4_94207611_94291292
SCARNA22,chr4_1974636_1974760
AP1AR,chr4_112231740_112273110
CCKAR,chr4_26481396_26490484
GAR1-DT,chr4_109815047_109815410
GAR1,chr4_109815510_109824740
SPARCL1,chr4_87473335_87531061
ART3,chr4_76011184_76112802
SCARB2,chr4_76158737_76234536
LARP7,chr4_112637107_112657592
ARSJ,chr4_113900284_113979727
MARCHF11,chr5_16067139_16180762
MARCHF6,chr5_10353695_10440388
MARCHF11-AS1,chr5_16129178_16141602
MARK2P5,chr5_15384220_15384853
PART1,chr5_60487713_60548813
ARSB,chr5_78777209_78986087
ARRDC3-AS1,chr5_91380349_91612566
CARD6,chr5_40841308_40860175
STARD4,chr5_111496033_111512590
STARD4-AS1,chr5_111510396_111739726
ARSK,chr5_95555101_95605102
ARRDC3,chr5_91368631_91383317
ARL15,chr5_53883942_54310582
MARCHF3,chr5_126867714_127030558
ARHGAP26-IT1,chr5_143192500_143194166
MINAR2,chr5_129748094_129766732
PPARGC1B,chr5_149730298_149855022
ARL2BPP5,chr5_162761833_162762313
ARHGAP26-AS1,chr5_142859604_142868922
MARK2P11,chr5_157984658_157989990
RARS1,chr5_168486451_168519301
ARGFXP1,chr5_122675795_122676755
ARL10,chr5_176365487_176401865
ARHGAP26,chr5_142770377_143229011
MARCOL,chr5_148221650_148243580
ARAP3,chr5_141653401_141682230
ARHGEF37,chr5_149551947_149634968
ARL2BPP6,chr5_175290731_175291252
ARPP19P1,chr5_180982273_180982611
CARMN,chr5_149406689_149432835
WSPAR,chr5_133913677_133917269
LARS1,chr5_146110566_146182696
ARL2BPP4,chr5_130529419_130529889
PARP8,chr5_50665899_50846519
SCARNA18,chr5_83064204_83064337
HARS2,chr5_140691430_140699305
HARS1,chr5_140673035_140691537
LARP1,chr5_154712843_154817605
TARS1,chr5_33440696_33468091
ARL14EPL,chr5_116032324_116060118
SAR1B,chr5_134601149_134649271
SPARC,chr5_151661096_151686975
ARSI,chr5_150296343_150339307
MARVELD2,chr5_69415065_69444330
CARTPT,chr5_71719275_71721048
ARHGEF28,chr5_73626158_73941993
ARPC3P5,chr6_15934782_15935315
JARID2-DT,chr6_15243923_15245000
ARMH2,chr6_24797335_24798917
CARMIL1,chr6_25279078_25620530
JARID2,chr6_15246069_15522042
SAR1AP1,chr6_29076573_29077168
JARID2-AS1,chr6_15247815_15248634
AARS2,chr6_44298731_44313347
SMARCE1P2,chr6_84429584_84430802
ARMC2,chr6_108848416_108974476
ARL4AP5,chr6_150934968_150935566
TARID,chr6_133502252_133892802
TAAR6,chr6_132570322_132571359
WAKMAR2,chr6_137823673_137868233
MARCKS,chr6_113857345_113863475
TAAR5,chr6_132588673_132589686
OARD1,chr6_41033627_41097787
TAAR2,chr6_132617022_132624275
TAAR3P,chr6_132608225_132609302
ARMC2-AS1,chr6_108922976_108924103
ARID1B,chr6_156776020_157210779
RARS2,chr6_87513938_87589987
PANDAR,chr6_36673621_36675126
MARCKSL1P2,chr6_138402585_138403560
TAAR4P,chr6_132594398_132595436
ARFGEF3,chr6_138161939_138344663
TAAR9,chr6_132538290_132539336
ERMARD,chr6_169751622_169781600
ARG1,chr6_131470832_131584332
TAAR7P,chr6_132559024_132559265
ARHGAP18,chr6_129576132_129710177
TAAR8,chr6_132552693_132553721
FARS2,chr6_5261044_5829192
VARS2,chr6_30914205_30926459
ARMC12,chr6_35737032_35749079
LARP1P1,chr6_26164072_26164363
VARS1,chr6_31777518_31795752
PPARD,chr6_35342558_35428191
ARMT1,chr6_151452258_151470101
TAAR1,chr6_132643312_132659182
PRKAR1B-AS1,chr7_603185_608482
PRKAR1B,chr7_549197_727650
ARL4A,chr7_12686856_12690958
PRKAR1B-AS2,chr7_561958_565619
ARAFP2,chr7_63404842_63405400
MARK2P13,chr7_36109024_36110872
ARF1P1,chr7_94833904_94834447
ARAFP1,chr7_63937905_63938509
ARAFP3,chr7_63342711_63343200
ARPC1A,chr7_99325898_99366262
LUARIS,chr7_43508728_43522542
ARF5,chr7_127588386_127591700
ARMC10,chr7_103074881_103099759
PARP12,chr7_140023749_140062951
PRKAR2B,chr7_107044705_107161811
PRKAR2B-AS1,chr7_107066591_107133733
MARK2P10,chr7_96858182_96859618
GARS1-DT,chr7_30516309_30595286
GARS1,chr7_30580533_30634033
ARPC1B,chr7_99374249_99394816
SMARCD3,chr7_151238764_151277896
RARRES2,chr7_150338317_150341662
CARD11-AS1,chr7_2944035_2947091
CARD11,chr7_2906142_3043867
STARD3NL,chr7_38178245_38230670
LARP1BP2,chr7_106315225_106315743
ARHGEF35,chr7_144186083_144195833
ARHGEF35-AS1,chr7_144194858_144280547
ARHGEF34P,chr7_144272445_144286966
ARHGEF5,chr7_144355288_144380632
RARRES2P3,chrX_21421822_21422294
SAR1AP4,chrX_75884546_75885136
ARL13A,chrX_100969708_100990831
ARMCX2,chrX_101655281_101659850
ARMCX4,chrX_101418287_101533459
ARMCX7P,chrX_101597510_101598671
ARMCX1,chrX_101550547_101554700
ARHGAP6,chrX_11117651_11665920
ARMCX6,chrX_101615118_101618001
ARMCX3,chrX_101622797_101627843
ARL5AP1,chrX_119186442_119186829
ARL5AP5,chrX_76029895_76030330
ARMCX3-AS1,chrX_101622983_101624164
ARHGEF6,chrX_136665547_136780932
PARD6BP1,chrX_123878590_123879296
LARP1BP3,chrX_134204353_134205916
ARR3,chrX_70268305_70281840
ARHGAP4,chrX_153907367_153934999
AR,chrX_67544021_67730619
SMARCA1,chrX_129446501_129523500
ARHGAP36,chrX_131058346_131089885
SCARNA23,chrX_24744441_24744570
ARX,chrX_25003694_25016420
ARHGEF9,chrX_63634967_63809274
ARHGEF9-IT1,chrX_63670196_63671502
ARAF,chrX_47561205_47571908
ARMCX5,chrX_102599168_102604159
ARMCX5-GPRASP2,chrX_102599512_102714671
ARMCX5-GPRASP2,chrX_102712495_102753530
ARSD,chrX_2903972_2929349
ARSD-AS1,chrX_2904904_2906081
ARSH,chrX_3006546_3034111
ARSF,chrX_3041471_3112727
ARSL,chrX_2934045_2968475
AARSD1P1,chrX_74069276_74070832
STARD8,chrX_68647666_68725842
LPAR4,chrX_78747709_78758714
CCAR2,chr8_22604632_22621514
SCARA3,chr8_27633868_27676776
STAR,chr8_38142700_38150992
SARAF,chr8_30063003_30083208
ARMC1,chr8_65602458_65634217
NARS1P2,chr8_62110524_62119898
IARS2P1,chr8_87598462_87601634
SCARA5,chr8_27869883_27992673
CIBAR1,chr8_93698561_93731527
AARD,chr8_116938207_116944487
ARF1P3,chr8_124151923_124152433
CARS1P2,chr8_114791653_114791929
ARC,chr8_142611049_142614479
TSNARE1,chr8_142212080_142403182
ARHGAP39,chr8_144529179_144605816
TARDBPP4,chr8_63136223_63138084
ARFGEF1,chr8_67173511_67343781
ARFGEF1-DT,chr8_67343975_67345087
PARP10,chr8_143977153_144012772
SHARPIN,chr8_144098633_144108124
SMARCE1P4,chr8_37095150_37095390
ARHGEF10,chr8_1823926_1958641
CARM1P1,chr9_2907073_3053408
SMARCA2,chr9_1980290_2193624
CARNMT1-AS1,chr9_74952968_74996293
CARNMT1,chr9_74980790_75028423
CARD19,chr9_93096217_93113283
ARMC8P1,chr9_38452782_38454070
BARX1,chr9_93951627_93955355
PTAR1,chr9_69709522_69760011
ARL2BPP7,chr9_102055252_102055741
BARX1-DT,chr9_93955597_93959140
ARPC5L,chr9_124862130_124877733
ARF4P1,chr9_134078904_134079444
SARDH,chr9_133663560_133739955
BARHL1,chr9_132582606_132590252
SCARNA8,chr9_19063656_19063786
ARHGEF39,chr9_35658875_35675866
SPAAR,chr9_35909490_35937153
LNCARSR,chr9_79505804_79567802
ARRDC1,chr9_137605685_137615360
ARRDC1-AS1,chr9_137615332_137618906
GARNL3,chr9_127224265_127393660
NRARP,chr9_137299631_137302271
PARK7P2,chr9_95918136_95918704
CARD9,chr9_136361903_136373681
ARID3C,chr9_34621379_34628086
SIGMAR1,chr9_34634722_34637844
LPAR1,chr9_110873263_111038470
IARS1,chr9_92210207_92293854
FAR1-IT1,chr11_13669327_13670149
ARL14EP,chr11_30323104_30338223
PAUPAR,chr11_31812307_32002405
FAR1,chr11_13668668_13732346
ARFGAP2,chr11_47164299_47177125
HARBI1,chr11_46602861_46617909
ARHGAP1,chr11_46677080_46700619
NARS2,chr11_78435968_78574874
ARAP1-AS1,chr11_72685075_72693808
ARHGAP42,chr11_100687288_100993941
SCARNA9,chr11_93721513_93721865
ARPC3P3,chr11_94188449_94188997
ARRB1,chr11_75260122_75351705
CARD18,chr11_105137714_105531697
ARHGAP42-AS1,chr11_100684162_100687955
ARHGEF17,chr11_73308276_73369388
SMARCE1P1,chr11_107403404_107404589
ARAP1-AS2,chr11_72700474_72705607
ARL6IP1P3,chr11_80653429_80653988
ARCN1,chr11_118572390_118603033
ARHGEF12,chr11_120336413_120489937
ARL2-SNX15,chr11_65014182_65040570
BARX2,chr11_129375848_129452279
ARL2,chr11_65014160_65022184
WARS1P1,chr11_59255360_59259486
LARGE2,chr11_45921621_45929096
SART1,chr11_65961728_65980137
CARS1-AS1,chr11_3029009_3041260
CARS1,chr11_3000922_3057613
PARVA,chr11_12377563_12535356
ARPC3P4,chr11_73921665_73922196
CARNS1,chr11_67414968_67425607
ARNTL,chr11_13276652_13387266
ART5,chr11_3638512_3642316
ART1,chr11_3645128_3664416
ARAP1,chr11_72685069_72793599
MARK2,chr11_63838928_63911020
STARD10,chr11_72754729_72794047
CARD17,chr11_105092469_105101431
CARD16,chr11_105041326_105101431
ARFIP2,chr11_6474683_6481479
ARHGAP32,chr11_128965060_129279324
ART2BP,chr11_72478221_72479237
ART2P,chr11_72519986_72521733
OR5AR1,chr11_56663686_56664618
ARHGAP20,chr11_110577042_110713189
ARL4AP3,chr10_5207169_5207742
ADARB2-AS1,chr10_1526637_1556984
LARP4B,chr10_806914_931705
ADARB2,chr10_1177313_1737525
ARL5B,chr10_18659431_18681639
ARMC3,chr10_22928024_23038523
ARHGAP12,chr10_31805398_31928876
PARD3-AS1,chr10_34815767_34816386
ARHGAP22-IT1,chr10_48510525_48511589
MARCHF8,chr10_45454585_45594906
CCAR1,chr10_68721012_68792377
FARSBP1,chr10_80776165_80778088
LNCAROD,chr10_52450874_52755507
WARS2P1,chr10_80940665_80941201
MARK2P16,chr10_89837612_89839334
ARHGAP19-SLIT1,chr10_97153045_97292637
MARK2P15,chr10_83311628_83314475
ARL4AP1,chr10_60684505_60685209
MARCHF5,chr10_92291167_92353964
SMARCE1P7,chr10_101181144_101181951
MARVELD1,chr10_97713173_97718150
ARHGAP19,chr10_97222173_97292673
ARMH3,chr10_101845599_102056193
ARL5AP2,chr10_99013103_99013952
RARRES2P2,chr10_133637408_133637892
SAR1AP2,chr10_126272818_126273411
ARMS2,chr10_122454653_122457352
SCART1,chr10_133453928_133523558
ARL3,chr10_102673731_102714397
PARD3,chr10_34109560_34815325
FFAR4,chr10_93566665_93604480
MARCKSL1P1,chr10_103175554_103176094
ARHGAP22,chr10_48446036_48656265
SAR1A,chr10_70147289_70170523
MARK2P9,chr10_92418667_92420875
ARHGAP21,chr10_24583609_24723887
PARGP1,chr10_45854093_45972154
ARID5B,chr10_61901684_62096944
PARG,chr10_49818279_49970203
ARL6IP1P2,chr10_36995023_36995585
GABARAPL1-AS1,chr12_10214161_10214761
C3AR1,chr12_8056844_8066359
GABARAPL1,chr12_10212458_10223128
FAR2,chr12_29149103_29340980
ART4,chr12_14825569_14843526
ARNTL2,chr12_27332854_27425289
PARP11,chr12_3791047_3873448
PARP11-AS1,chr12_3871579_3910382
ARNTL2-AS1,chr12_27389789_27446625
ARID2,chr12_45729706_45908040
PARK7P1,chr12_49595148_49595688
LARP4,chr12_50392383_50480004
SMARCD1,chr12_50085200_50100707
ARL2BPP2,chr12_52763405_52763893
RARG,chr12_53210567_53232980
HELLPAR,chr12_102197585_102402596
ARF1P2,chr12_120845110_120845647
ARL1,chr12_101393116_101407772
ARHGDIB,chr12_14942031_14961728
MARK3P1,chr12_46682071_46682713
ARHGAP9,chr12_57472264_57488814
MARS1,chr12_57475445_57517569
ARHGEF25,chr12_57610180_57617245
MARCHF9,chr12_57755103_57760411
ARF3,chr12_48935723_48957487
SCARNA12,chr12_6967337_6967606
TIGAR,chr12_4307763_4360028
SARNP,chr12_55752463_55817724
LPAR5,chr12_6618835_6635960
RARS1P1,chr12_27496937_27498589
SART3,chr12_108522214_108561400
HCAR2,chr12_122701293_122703357
HCAR3,chr12_122714756_122716811
HCAR1,chr12_122726076_122730844
SCARNA10,chr12_6510222_6510551
SCARNA11,chr12_6581474_6581609
PARPBP,chr12_102120183_102197520
SCARB1,chr12_124776856_124882668
ARPC3,chr12_110434823_110450422
SMARCC2,chr12_56162359_56189567
YARS2,chr12_32727490_32755897
ARL6IP4,chr12_122980060_122982913
TARBP2,chr12_53500921_53506431
PARP4,chr13_24420931_24512778
PARP4P2,chr13_19349137_19407962
STARD13-AS,chr13_33180401_33281584
SMARCE1P5,chr13_44594858_44596082
STARD13-IT1,chr13_33158587_33164409
MARK2P12,chr13_73407768_73408352
ARF4P3,chr13_100756551_100757059
STARP1,chr13_65309855_65310953
ARF4P4,chr13_80888348_80888867
STARD13,chr13_33103137_33350630
FARP1-AS1,chr13_98435405_98435840
KARS1P2,chr13_113130416_113132054
FAR1P1,chr13_90170866_90171799
ARL11,chr13_49628507_49633872
ARGLU1,chr13_106541673_106568137
FARP1,chr13_98142562_98455176
MIR548AR,chr13_114244505_114244561
ZAR1L,chr13_32303699_32315363
ARL2BPP3,chr13_36789332_36795050
TARDBPP2,chr13_60274776_60276006
SPART,chr13_36301638_36370180
SPART-AS1,chr13_36346431_36369601
CARS2,chr13_110641412_110713603
KARS1P1,chr13_41925598_41927349
LPAR6,chr13_48389567_48444704
PARP1P1,chr13_110936759_110939784
ARHGEF7-AS2,chr13_111113812_111115678
ARHGEF7,chr13_111114559_111305737
ARHGEF7-IT1,chr13_111122652_111144264
ARHGEF7-AS1,chr13_111144305_111144733
ARHGAP5-AS1,chr14_32074946_32076793
ARHGAP5,chr14_32076114_32159728
ARHGAP16P,chr14_43595136_43596683
ARHGAP42P5,chr14_18623852_18626787
ARF6,chr14_49893082_49897054
PARP1P2,chr14_63123007_63123201
TOGARAM1,chr14_44962190_45074431
ARMH4,chr14_57999735_58298139
WARS1,chr14_100333790_100376805
SCARNA13,chr14_95533355_95533629
ARHGEF40,chr14_21070273_21090248
SMARCE1P3,chr14_21162513_21163743
ARHGAP42P4,chr14_19688261_19691194
CARMIL3,chr14_24052009_24069729
ARID4A,chr14_58298504_58373887
ARL6IP1P1,chr14_21649728_21650337
ARG2,chr14_67619920_67651708
MARK3,chr14_103385377_103503831
PARP2,chr14_20343615_20357904
TUNAR,chr14_95876392_95925663
AREL1,chr14_74653437_74713117
BCAR1P2,chr15_21080812_21081447
BCAR1P1,chr15_20073699_20074334
ARHGAP11A,chr15_32615144_32639941
CIBAR1P1,chr15_41163162_41164374
STARD9,chr15_42575606_42720998
ARIH1,chr15_72474330_72602987
CARS1P1,chr15_68749501_68750691
MINAR1,chr15_79432336_79472304
LARP6,chr15_70829130_70854157
ARNT2,chr15_80404350_80597933
PWAR5,chr15_24985053_24988232
ARRDC4,chr15_97960703_97973833
LUNAR1,chr15_99014526_99031054
SCARNA14,chr15_66347207_66347342
PWAR1,chr15_25135642_25138055
CARMAL,chr15_89041223_89082819
ARHGAP11B,chr15_30624494_30649529
PARP16,chr15_65234460_65300618
ARPIN-AP3S2,chr15_89834308_89912882
ARPIN,chr15_89895006_89912952
ARPP19,chr15_52547045_52569883
TARS3,chr15_101653596_101724473
SCARNA15,chr15_82755945_82756071
PARP6,chr15_72241181_72272999
ARID3B,chr15_74541206_74598131
LARP4P,chr15_36617089_36619265
STARD5,chr15_81309053_81324183
GABARAPL3,chr15_90347587_90349437
GABARAPL3,chr15_90348844_90349197
ARHGDIG,chr16_280450_283010
BCAR4,chr16_11819829_11828845
PARN,chr16_14435700_14632728
LARP7P2,chr16_19819504_19819628
ARL6IP1,chr16_18791669_18801572
RARRES2P9,chr16_35344091_35344559
RARRES2P8,chr16_35543279_35543645
RARRES2P5,chr16_35221583_35222048
ARHGAP23P1,chr16_33907419_33937167
RARRES2P10,chr16_35485766_35486225
BFAR,chr16_14632931_14669236
KARS1P3,chr16_68002432_68004952
CARMIL2,chr16_67644988_67657569
ARHGAP17,chr16_24919389_25015666
ARLNC1,chr16_80826074_80892682
CIBAR2,chr16_85098358_85112472
BCAR1,chr16_75228181_75268053
RARRES2P6,chr16_35255192_35255633
RARRES2P7,chr16_35414279_35414747
PYCARD,chr16_31201486_31203450
PYCARD-AS1,chr16_31201885_31203452
AARS1,chr16_70251983_70289707
GABARAPL2,chr16_75566375_75577881
KARS1,chr16_75627474_75648643
ARMC5,chr16_31458080_31467166
EARS2,chr16_23520754_23557731
MARF1,chr16_15594387_15643154
