source,target
CARD11,chr7_2901142_3044867
STARD3NL,chr7_38173245_38231670
LARP1BP2,chr7_106310225_106316743
ARHGEF35,chr7_144181083_144196833
ARHGEF35-AS1,chr7_144189858_144281547
ARHGEF34P,chr7_144267445_144287966
ARHGEF5,chr7_144350288_144381632
RARRES2P3,chrX_21416822_21423294
SAR1AP4,chrX_75879546_75886136
ARL13A,chrX_100964708_100991831
ARMCX2,chrX_101650281_101660850
ARMCX4,chrX_101413287_101534459
ARMCX7P,chrX_101592510_101599671
ARMCX1,chrX_101545547_101555700
ARHGAP6,chrX_11112651_11666920
ARMCX6,chrX_101610118_101619001
ARMCX3,chrX_101617797_101628843
ARL5AP1,chrX_119181442_119187829
ARL5AP5,chrX_76024895_76031330
ARMCX3-AS1,chrX_101617983_101625164
ARHGEF6,chrX_136660547_136781932
PARD6BP1,chrX_123873590_123880296
LARP1BP3,chrX_134199353_134206916
ARR3,chrX_70263305_70282840
ARHGAP4,chrX_153902367_153935999
AR,chrX_67539021_67731619
SMARCA1,chrX_129441501_129524500
ARHGAP36,chrX_131053346_131090885
SCARNA23,chrX_24739441_24745570
ARX,chrX_24998694_25017420
ARHGEF9,chrX_63629967_63810274
ARHGEF9-IT1,chrX_63665196_63672502
ARAF,chrX_47556205_47572908
ARMCX5,chrX_102594168_102605159
ARMCX5-GPRASP2,chrX_102594512_102715671
ARMCX5-GPRASP2,chrX_102707495_102754530
ARSD,chrX_2898972_2930349
ARSD-AS1,chrX_2899904_2907081
ARSH,chrX_3001546_3035111
ARSF,chrX_3036471_3113727
ARSL,chrX_2929045_2969475
AARSD1P1,chrX_74064276_74071832
STARD8,chrX_68642666_68726842
LPAR4,chrX_78742709_78759714
CCAR2,chr8_22599632_22622514
SCARA3,chr8_27628868_27677776
STAR,chr8_38137700_38151992
SARAF,chr8_30058003_30084208
ARMC1,chr8_65597458_65635217
NARS1P2,chr8_62105524_62120898
IARS2P1,chr8_87593462_87602634
SCARA5,chr8_27864883_27993673
CIBAR1,chr8_93693561_93732527
AARD,chr8_116933207_116945487
ARF1P3,chr8_124146923_124153433
CARS1P2,chr8_114786653_114792929
ARC,chr8_142606049_142615479
TSNARE1,chr8_142207080_142404182
ARHGAP39,chr8_144524179_144606816
TARDBPP4,chr8_63131223_63139084
ARFGEF1,chr8_67168511_67344781
ARFGEF1-DT,chr8_67338975_67346087
PARP10,chr8_143972153_144013772
SHARPIN,chr8_144093633_144109124
SMARCE1P4,chr8_37090150_37096390
ARHGEF10,chr8_1818926_1959641
CARM1P1,chr9_2902073_3054408
SMARCA2,chr9_1975290_2194624
CARNMT1-AS1,chr9_74947968_74997293
CARNMT1,chr9_74975790_75029423
CARD19,chr9_93091217_93114283
ARMC8P1,chr9_38447782_38455070
BARX1,chr9_93946627_93956355
PTAR1,chr9_69704522_69761011
ARL2BPP7,chr9_102050252_102056741
BARX1-DT,chr9_93950597_93960140
ARPC5L,chr9_124857130_124878733
ARF4P1,chr9_134073904_134080444
SARDH,chr9_133658560_133740955
BARHL1,chr9_132577606_132591252
SCARNA8,chr9_19058656_19064786
ARHGEF39,chr9_35653875_35676866
SPAAR,chr9_35904490_35938153
LNCARSR,chr9_79500804_79568802
ARRDC1,chr9_137600685_137616360
ARRDC1-AS1,chr9_137610332_137619906
GARNL3,chr9_127219265_127394660
NRARP,chr9_137294631_137303271
PARK7P2,chr9_95913136_95919704
CARD9,chr9_136356903_136374681
ARID3C,chr9_34616379_34629086
SIGMAR1,chr9_34629722_34638844
LPAR1,chr9_110868263_111039470
IARS1,chr9_92205207_92294854
FAR1-IT1,chr11_13664327_13671149
ARL14EP,chr11_30318104_30339223
PAUPAR,chr11_31807307_32003405
FAR1,chr11_13663668_13733346
ARFGAP2,chr11_47159299_47178125
HARBI1,chr11_46597861_46618909
ARHGAP1,chr11_46672080_46701619
NARS2,chr11_78430968_78575874
ARAP1-AS1,chr11_72680075_72694808
ARHGAP42,chr11_100682288_100994941
SCARNA9,chr11_93716513_93722865
ARPC3P3,chr11_94183449_94189997
ARRB1,chr11_75255122_75352705
CARD18,chr11_105132714_105532697
ARHGAP42-AS1,chr11_100679162_100688955
ARHGEF17,chr11_73303276_73370388
SMARCE1P1,chr11_107398404_107405589
ARAP1-AS2,chr11_72695474_72706607
ARL6IP1P3,chr11_80648429_80654988
ARCN1,chr11_118567390_118604033
ARHGEF12,chr11_120331413_120490937
ARL2-SNX15,chr11_65009182_65041570
BARX2,chr11_129370848_129453279
ARL2,chr11_65009160_65023184
WARS1P1,chr11_59250360_59260486
LARGE2,chr11_45916621_45930096
SART1,chr11_65956728_65981137
CARS1-AS1,chr11_3024009_3042260
CARS1,chr11_2995922_3058613
PARVA,chr11_12372563_12536356
ARPC3P4,chr11_73916665_73923196
CARNS1,chr11_67409968_67426607
ARNTL,chr11_13271652_13388266
ART5,chr11_3633512_3643316
ART1,chr11_3640128_3665416
ARAP1,chr11_72680069_72794599
MARK2,chr11_63833928_63912020
STARD10,chr11_72749729_72795047
CARD17,chr11_105087469_105102431
CARD16,chr11_105036326_105102431
ARFIP2,chr11_6469683_6482479
ARHGAP32,chr11_128960060_129280324
ART2BP,chr11_72473221_72480237
ART2P,chr11_72514986_72522733
OR5AR1,chr11_56658686_56665618
ARHGAP20,chr11_110572042_110714189
ARL4AP3,chr10_5202169_5208742
ADARB2-AS1,chr10_1521637_1557984
LARP4B,chr10_801914_932705
ADARB2,chr10_1172313_1738525
ARL5B,chr10_18654431_18682639
ARMC3,chr10_22923024_23039523
ARHGAP12,chr10_31800398_31929876
PARD3-AS1,chr10_34810767_34817386
ARHGAP22-IT1,chr10_48505525_48512589
MARCHF8,chr10_45449585_45595906
CCAR1,chr10_68716012_68793377
FARSBP1,chr10_80771165_80779088
LNCAROD,chr10_52445874_52756507
WARS2P1,chr10_80935665_80942201
MARK2P16,chr10_89832612_89840334
ARHGAP19-SLIT1,chr10_97148045_97293637
MARK2P15,chr10_83306628_83315475
ARL4AP1,chr10_60679505_60686209
MARCHF5,chr10_92286167_92354964
SMARCE1P7,chr10_101176144_101182951
MARVELD1,chr10_97708173_97719150
ARHGAP19,chr10_97217173_97293673
ARMH3,chr10_101840599_102057193
ARL5AP2,chr10_99008103_99014952
RARRES2P2,chr10_133632408_133638892
SAR1AP2,chr10_126267818_126274411
ARMS2,chr10_122449653_122458352
SCART1,chr10_133448928_133524558
ARL3,chr10_102668731_102715397
PARD3,chr10_34104560_34816325
FFAR4,chr10_93561665_93605480
MARCKSL1P1,chr10_103170554_103177094
ARHGAP22,chr10_48441036_48657265
SAR1A,chr10_70142289_70171523
MARK2P9,chr10_92413667_92421875
ARHGAP21,chr10_24578609_24724887
PARGP1,chr10_45849093_45973154
ARID5B,chr10_61896684_62097944
PARG,chr10_49813279_49971203
ARL6IP1P2,chr10_36990023_36996585
GABARAPL1-AS1,chr12_10209161_10215761
C3AR1,chr12_8051844_8067359
GABARAPL1,chr12_10207458_10224128
FAR2,chr12_29144103_29341980
ART4,chr12_14820569_14844526
ARNTL2,chr12_27327854_27426289
PARP11,chr12_3786047_3874448
PARP11-AS1,chr12_3866579_3911382
ARNTL2-AS1,chr12_27384789_27447625
ARID2,chr12_45724706_45909040
PARK7P1,chr12_49590148_49596688
LARP4,chr12_50387383_50481004
SMARCD1,chr12_50080200_50101707
ARL2BPP2,chr12_52758405_52764893
RARG,chr12_53205567_53233980
HELLPAR,chr12_102192585_102403596
ARF1P2,chr12_120840110_120846647
ARL1,chr12_101388116_101408772
ARHGDIB,chr12_14937031_14962728
MARK3P1,chr12_46677071_46683713
ARHGAP9,chr12_57467264_57489814
MARS1,chr12_57470445_57518569
ARHGEF25,chr12_57605180_57618245
MARCHF9,chr12_57750103_57761411
ARF3,chr12_48930723_48958487
SCARNA12,chr12_6962337_6968606
TIGAR,chr12_4302763_4361028
SARNP,chr12_55747463_55818724
LPAR5,chr12_6613835_6636960
RARS1P1,chr12_27491937_27499589
SART3,chr12_108517214_108562400
HCAR2,chr12_122696293_122704357
HCAR3,chr12_122709756_122717811
HCAR1,chr12_122721076_122731844
SCARNA10,chr12_6505222_6511551
SCARNA11,chr12_6576474_6582609
PARPBP,chr12_102115183_102198520
SCARB1,chr12_124771856_124883668
ARPC3,chr12_110429823_110451422
SMARCC2,chr12_56157359_56190567
YARS2,chr12_32722490_32756897
ARL6IP4,chr12_122975060_122983913
TARBP2,chr12_53495921_53507431
PARP4,chr13_24415931_24513778
PARP4P2,chr13_19344137_19408962
STARD13-AS,chr13_33175401_33282584
SMARCE1P5,chr13_44589858_44597082
STARD13-IT1,chr13_33153587_33165409
MARK2P12,chr13_73402768_73409352
ARF4P3,chr13_100751551_100758059
STARP1,chr13_65304855_65311953
ARF4P4,chr13_80883348_80889867
STARD13,chr13_33098137_33351630
FARP1-AS1,chr13_98430405_98436840
KARS1P2,chr13_113125416_113133054
FAR1P1,chr13_90165866_90172799
ARL11,chr13_49623507_49634872
ARGLU1,chr13_106536673_106569137
FARP1,chr13_98137562_98456176
MIR548AR,chr13_114239505_114245561
ZAR1L,chr13_32298699_32316363
ARL2BPP3,chr13_36784332_36796050
TARDBPP2,chr13_60269776_60277006
SPART,chr13_36296638_36371180
SPART-AS1,chr13_36341431_36370601
CARS2,chr13_110636412_110714603
KARS1P1,chr13_41920598_41928349
LPAR6,chr13_48384567_48445704
PARP1P1,chr13_110931759_110940784
ARHGEF7-AS2,chr13_111108812_111116678
ARHGEF7,chr13_111109559_111306737
ARHGEF7-IT1,chr13_111117652_111145264
ARHGEF7-AS1,chr13_111139305_111145733
ARHGAP5-AS1,chr14_32069946_32077793
ARHGAP5,chr14_32071114_32160728
ARHGAP16P,chr14_43590136_43597683
ARHGAP42P5,chr14_18618852_18627787
ARF6,chr14_49888082_49898054
PARP1P2,chr14_63118007_63124201
TOGARAM1,chr14_44957190_45075431
ARMH4,chr14_57994735_58299139
WARS1,chr14_100328790_100377805
SCARNA13,chr14_95528355_95534629
ARHGEF40,chr14_21065273_21091248
SMARCE1P3,chr14_21157513_21164743
ARHGAP42P4,chr14_19683261_19692194
CARMIL3,chr14_24047009_24070729
ARID4A,chr14_58293504_58374887
ARL6IP1P1,chr14_21644728_21651337
ARG2,chr14_67614920_67652708
MARK3,chr14_103380377_103504831
PARP2,chr14_20338615_20358904
TUNAR,chr14_95871392_95926663
AREL1,chr14_74648437_74714117
BCAR1P2,chr15_21075812_21082447
BCAR1P1,chr15_20068699_20075334
ARHGAP11A,chr15_32610144_32640941
CIBAR1P1,chr15_41158162_41165374
STARD9,chr15_42570606_42721998
ARIH1,chr15_72469330_72603987
CARS1P1,chr15_68744501_68751691
MINAR1,chr15_79427336_79473304
LARP6,chr15_70824130_70855157
ARNT2,chr15_80399350_80598933
PWAR5,chr15_24980053_24989232
ARRDC4,chr15_97955703_97974833
LUNAR1,chr15_99009526_99032054
SCARNA14,chr15_66342207_66348342
PWAR1,chr15_25130642_25139055
CARMAL,chr15_89036223_89083819
ARHGAP11B,chr15_30619494_30650529
PARP16,chr15_65229460_65301618
ARPIN-AP3S2,chr15_89829308_89913882
ARPIN,chr15_89890006_89913952
ARPP19,chr15_52542045_52570883
TARS3,chr15_101648596_101725473
SCARNA15,chr15_82750945_82757071
PARP6,chr15_72236181_72273999
ARID3B,chr15_74536206_74599131
LARP4P,chr15_36612089_36620265
STARD5,chr15_81304053_81325183
GABARAPL3,chr15_90342587_90350437
GABARAPL3,chr15_90343844_90350197
ARHGDIG,chr16_275450_284010
BCAR4,chr16_11814829_11829845
PARN,chr16_14430700_14633728
LARP7P2,chr16_19814504_19820628
ARL6IP1,chr16_18786669_18802572
RARRES2P9,chr16_35339091_35345559
RARRES2P8,chr16_35538279_35544645
RARRES2P5,chr16_35216583_35223048
ARHGAP23P1,chr16_33902419_33938167
RARRES2P10,chr16_35480766_35487225
BFAR,chr16_14627931_14670236
KARS1P3,chr16_67997432_68005952
CARMIL2,chr16_67639988_67658569
ARHGAP17,chr16_24914389_25016666
ARLNC1,chr16_80821074_80893682
CIBAR2,chr16_85093358_85113472
BCAR1,chr16_75223181_75269053
RARRES2P6,chr16_35250192_35256633
RARRES2P7,chr16_35409279_35415747
PYCARD,chr16_31196486_31204450
PYCARD-AS1,chr16_31196885_31204452
AARS1,chr16_70246983_70290707
GABARAPL2,chr16_75561375_75578881
KARS1,chr16_75622474_75649643
ARMC5,chr16_31453080_31468166
EARS2,chr16_23515754_23558731
MARF1,chr16_15589387_15644154
